,date,state,positive,tests,hospitalized,death_total,death,positive_total,pos_rate,death_rate,death_rate_est
2474,2020-10-19,FL,1691,36064,2057.0,16222.0,54,747183.0,4.688886424134871,2.1710879396346012,0.21710879396346008
2475,2020-10-19,GA,752,15821,1664.0,7657.0,19,341310.0,4.753176158270652,2.243415077202543,0.22434150772025432
2476,2020-10-19,GU,81,581,68.0,66.0,0,3756.0,13.941480206540447,1.7571884984025559,0.1757188498402556
2477,2020-10-19,HI,82,3735,96.0,187.0,1,14225.0,2.1954484605087017,1.314586994727592,0.13145869947275923
2478,2020-10-19,IA,557,3037,480.0,1538.0,10,102517.0,18.340467566677642,1.500238984753748,0.15002389847537484
2479,2020-10-19,ID,510,2878,221.0,528.0,-1,53092.0,17.720639332870046,0.9945001130113765,0.09945001130113765
2480,2020-10-19,IL,3113,48684,2096.0,9496.0,22,350748.0,6.394297921288309,2.7073568487917252,0.2707356848791725
2481,2020-10-19,IN,1584,21689,1373.0,3960.0,23,149166.0,7.303241274378718,2.65476046820321,0.26547604682032094
2482,2020-10-19,KS,2113,9205,285.0,872.0,13,72968.0,22.954915806626833,1.195044403025984,0.11950444030259841
2483,2020-10-19,KY,640,24167,764.0,1326.0,9,88247.0,2.648239334629867,1.5026006549797726,0.15026006549797727
2484,2020-10-19,LA,201,4866,553.0,5766.0,16,179070.0,4.130702836004932,3.219969844195007,0.32199698441950075
2485,2020-10-19,MA,828,70708,500.0,9753.0,16,144488.0,1.1710131809696216,6.750041525939871,0.675004152593987
2486,2020-10-19,MD,497,24671,434.0,4041.0,4,136154.0,2.014510964290057,2.9679627480646915,0.29679627480646914
2487,2020-10-19,ME,23,15762,8.0,146.0,0,5962.0,0.14592056845577972,2.4488426702448844,0.24488426702448846
2488,2020-10-19,MI,5004,64867,1050.0,7363.0,46,164123.0,7.71424607273344,4.486269444258269,0.448626944425827
2489,2020-10-19,MN,1627,22177,532.0,2239.0,5,124439.0,7.336429634305812,1.7992751468591035,0.17992751468591037
2490,2020-10-19,MO,1405,11607,1439.0,2590.0,8,158101.0,12.104764366330663,1.6381933068102035,0.16381933068102036
2491,2020-10-19,MP,0,0,,2.0,0,86.0,,2.3255813953488373,0.23255813953488372
2492,2020-10-19,MS,586,586,653.0,3171.0,0,110592.0,100.0,2.867296006944444,0.2867296006944444
2493,2020-10-19,MT,569,11232,339.0,241.0,0,23390.0,5.0658831908831905,1.0303548525010688,0.10303548525010689
2494,2020-10-19,NC,1144,31106,1142.0,3939.0,5,247172.0,3.677747058445316,1.5936271098668136,0.15936271098668134
2495,2020-10-19,ND,659,8072,205.0,413.0,4,32637.0,8.164023785926661,1.265434935809051,0.1265434935809051
2496,2020-10-19,NE,734,7949,343.0,548.0,0,58068.0,9.233865895081141,0.9437211545085074,0.09437211545085072
2497,2020-10-19,NH,52,4949,16.0,468.0,1,9746.0,1.0507173166296222,4.801970038990355,0.4801970038990355
2498,2020-10-19,NJ,1192,80634,758.0,16214.0,3,221205.0,1.4782845945878909,7.329852399358061,0.7329852399358062
2499,2020-10-19,NM,514,6377,183.0,935.0,1,37302.0,8.060216402697193,2.5065680124390113,0.25065680124390116
2500,2020-10-19,NV,582,1348,485.0,1712.0,2,90843.0,43.17507418397626,1.884570082449941,0.18845700824499412
2501,2020-10-19,NY,998,82009,934.0,25659.0,15,485279.0,1.216939604189784,5.287473803729402,0.5287473803729401
2502,2020-10-19,OH,1837,40918,1154.0,5075.0,8,183624.0,4.489466738354758,2.7637999390057946,0.27637999390057943
2503,2020-10-19,OK,774,774,792.0,1173.0,2,108073.0,100.0,1.0853774763354398,0.10853774763354399
2504,2020-10-19,OR,262,3405,168.0,628.0,8,39794.0,7.694566813509544,1.5781273558827964,0.15781273558827966
2505,2020-10-19,PA,1103,12418,870.0,8500.0,8,183315.0,8.88226767595426,4.636827319095546,0.46368273190955456
2506,2020-10-19,PR,427,427,327.0,768.0,2,29138.0,100.0,2.6357334065481504,0.263573340654815
2507,2020-10-19,RI,85,2927,124.0,1159.0,1,28347.0,2.9039972668261016,4.088616079302924,0.4088616079302924
2508,2020-10-19,SC,619,8937,697.0,3661.0,11,164609.0,6.926261609041065,2.2240582228189223,0.22240582228189223
2509,2020-10-19,SD,567,1403,304.0,323.0,0,33836.0,40.413399857448326,0.9546045631871379,0.09546045631871379
2510,2020-10-19,TN,3317,42573,1338.0,2922.0,13,232061.0,7.7913231390787585,1.2591516885646445,0.12591516885646445
2511,2020-10-19,TX,1894,57124,4319.0,17022.0,8,825673.0,3.315594146068203,2.0615909688217973,0.20615909688217973
2512,2020-10-19,UT,1168,7159,304.0,546.0,3,95562.0,16.31512781114681,0.5713568154705846,0.05713568154705846
2513,2020-10-19,VA,690,11333,972.0,3457.0,24,166828.0,6.088414365128386,2.0721941160956194,0.20721941160956195
2514,2020-10-19,VI,0,0,,21.0,0,1335.0,,1.5730337078651686,0.15730337078651685
2515,2020-10-19,VT,12,4271,0.0,58.0,0,1963.0,0.28096464528213533,2.954661232806928,0.2954661232806928
2516,2020-10-19,WA,0,16225,292.0,2239.0,0,98201.0,0.0,2.2800175150965876,0.22800175150965873
2517,2020-10-19,WI,7915,20113,1172.0,1617.0,29,183142.0,39.35265748520857,0.8829214489303383,0.08829214489303382
2518,2020-10-19,WV,212,7118,177.0,399.0,0,20293.0,2.978364709187974,1.9661952397378408,0.19661952397378407
2519,2020-10-19,WY,286,6226,68.0,57.0,0,9311.0,4.593639575971731,0.6121791429491998,0.06121791429491999
2520,2020-10-18,AK,210,2211,73.0,67.0,0,11021.0,9.49796472184532,0.6079303148534615,0.060793031485346156
2521,2020-10-18,AL,964,5101,823.0,2788.0,0,172626.0,18.89825524406979,1.6150521937599205,0.16150521937599202
2522,2020-10-18,AR,644,8302,565.0,1704.0,20,99066.0,7.75716694772344,1.7200654109381626,0.17200654109381625
2523,2020-10-18,AS,0,0,,0.0,0,0.0,,,
2524,2020-10-18,AZ,742,10320,714.0,5827.0,3,231149.0,7.1899224806201545,2.520884797251989,0.2520884797251989
2525,2020-10-18,CA,2862,135351,3020.0,16943.0,44,867317.0,2.114502294035508,1.9534956653680258,0.19534956653680258
2526,2020-10-18,CO,933,21260,445.0,2042.0,0,85302.0,4.388523047977422,2.393847740967386,0.23938477409673867
2527,2020-10-18,CT,0,0,184.0,4542.0,0,62830.0,,7.229030717809963,0.7229030717809963
2528,2020-10-18,DC,36,3837,78.0,641.0,0,16370.0,0.9382329945269743,3.9156994502138063,0.39156994502138054
2529,2020-10-18,DE,151,5098,106.0,665.0,1,23093.0,2.9619458611220084,2.879660503182783,0.28796605031827827
2530,2020-10-18,FL,2474,53114,2005.0,16168.0,50,745492.0,4.657905636931883,2.1687690813583513,0.2168769081358351
2531,2020-10-18,GA,1174,17790,1654.0,7638.0,31,340558.0,6.5992130410342895,2.2427897744290255,0.22427897744290254
2532,2020-10-18,GU,58,288,63.0,66.0,2,3675.0,20.13888888888889,1.7959183673469388,0.17959183673469387
2533,2020-10-18,HI,96,3897,96.0,186.0,1,14143.0,2.4634334103156275,1.3151382309269604,0.13151382309269602
2534,2020-10-18,IA,857,4652,475.0,1528.0,1,101960.0,18.422184006878762,1.4986269125147116,0.14986269125147117
2535,2020-10-18,ID,878,1794,221.0,529.0,6,52582.0,48.94091415830547,1.0060476969305086,0.10060476969305085
2536,2020-10-18,IL,4245,79296,2012.0,9474.0,22,347635.0,5.3533595641646485,2.7252721964129045,0.27252721964129045
2537,2020-10-18,IN,1605,26668,1387.0,3937.0,19,147582.0,6.018449077546123,2.6676694989903917,0.26676694989903915
2538,2020-10-18,KS,0,0,456.0,859.0,0,70855.0,,1.2123350504551549,0.1212335050455155
2539,2020-10-18,KY,810,0,691.0,1317.0,5,87607.0,inf,1.5033045304598947,0.15033045304598947
2540,2020-10-18,LA,1143,26946,550.0,5750.0,23,178869.0,4.2418169672678685,3.214643118706987,0.3214643118706987
2541,2020-10-18,MA,730,80146,483.0,9737.0,14,143660.0,0.910837721158885,6.777808715021578,0.6777808715021579
2542,2020-10-18,MD,530,29528,433.0,4037.0,1,135657.0,1.7949065293958277,2.975887716815203,0.2975887716815203
2543,2020-10-18,ME,26,26,11.0,146.0,0,5939.0,100.0,2.458326317561879,0.24583263175618789
2544,2020-10-18,MI,0,0,1000.0,7317.0,0,159119.0,,4.598445188820945,0.45984451888209454
2545,2020-10-18,MN,1722,30947,484.0,2234.0,17,122812.0,5.564351956570912,1.8190404846431947,0.18190404846431946
2546,2020-10-18,MO,1768,18079,918.0,2582.0,2,156696.0,9.779301952541623,1.6477765865114617,0.16477765865114616
2547,2020-10-18,MP,0,0,,2.0,0,86.0,,2.3255813953488373,0.23255813953488372
2548,2020-10-18,MS,0,0,609.0,3171.0,0,110006.0,,2.8825700416340925,0.28825700416340927
2549,2020-10-18,MT,588,3006,331.0,241.0,1,22821.0,19.560878243512974,1.056044870952193,0.1056044870952193
2550,2020-10-18,NC,2303,34686,1129.0,3934.0,5,246028.0,6.639566395663957,1.5990049913018032,0.1599004991301803
2551,2020-10-18,ND,717,6901,210.0,409.0,5,31978.0,10.389798579915954,1.2790043154668833,0.12790043154668834
2552,2020-10-18,NE,620,7195,320.0,548.0,1,57334.0,8.617095205003475,0.9558028395018663,0.09558028395018663
2553,2020-10-18,NH,69,15272,17.0,467.0,1,9694.0,0.4518072289156626,4.8174128326800085,0.4817412832680008
2554,2020-10-18,NJ,1275,1275,732.0,16211.0,7,220013.0,100.0,7.368200969942686,0.7368200969942685
2555,2020-10-18,NM,445,8164,171.0,934.0,5,36788.0,5.450759431651151,2.5388713710992716,0.25388713710992716
2556,2020-10-18,NV,609,4230,503.0,1710.0,3,90261.0,14.397163120567377,1.894505932794895,0.1894505932794895
2557,2020-10-18,NY,1390,128763,913.0,25644.0,7,484281.0,1.0795026521593936,5.295272785841278,0.5295272785841278
2558,2020-10-18,OH,1562,46250,1097.0,5067.0,0,181787.0,3.377297297297297,2.7873280267565885,0.27873280267565886
2559,2020-10-18,OK,796,796,792.0,1171.0,3,107299.0,100.0,1.0913428829718823,0.10913428829718824
2560,2020-10-18,OR,216,3461,190.0,620.0,0,39532.0,6.240970817682751,1.5683496913892543,0.15683496913892545
2561,2020-10-18,PA,1269,14070,841.0,8492.0,26,182212.0,9.019189765458423,4.660505345421816,0.46605053454218165
2562,2020-10-18,PR,418,418,292.0,766.0,5,28711.0,100.0,2.667966981296367,0.26679669812963674
2563,2020-10-18,RI,284,13977,124.0,1158.0,0,28262.0,2.0319095657151034,4.0973745665558,0.40973745665558
2564,2020-10-18,SC,776,16212,716.0,3650.0,13,163990.0,4.786577843572662,2.2257454722848955,0.22257454722848954
2565,2020-10-18,SD,658,1843,300.0,323.0,8,33269.0,35.70265870862724,0.9708737864077669,0.0970873786407767
2566,2020-10-18,TN,2605,35686,1105.0,2909.0,6,228744.0,7.299781426890097,1.2717273458538803,0.12717273458538803
2567,2020-10-18,TX,3216,52683,4226.0,17014.0,30,823779.0,6.104435966061159,2.0653597627519034,0.2065359762751903
2568,2020-10-18,UT,1097,9579,307.0,543.0,3,94394.0,11.45213487837979,0.5752484268067886,0.05752484268067886
2569,2020-10-18,VA,900,20398,972.0,3433.0,11,166138.0,4.412197274242573,2.066354476399138,0.2066354476399138
2570,2020-10-18,VI,6,348,,21.0,0,1335.0,1.7241379310344827,1.5730337078651686,0.15730337078651685
2571,2020-10-18,VT,8,5301,2.0,58.0,0,1951.0,0.15091492171288434,2.972834443874936,0.2972834443874936
2572,2020-10-18,WA,1307,20306,292.0,2239.0,0,98201.0,6.436521225253619,2.2800175150965876,0.22800175150965873
